test,frame,latency_ms
polling,342,0.000
polling,343,0.000
polling,344,0.000
polling,345,0.000
polling,346,0.000
polling,347,0.000
polling,348,0.000
polling,349,0.000
polling,350,0.000
polling,351,0.000
polling,352,0.000
polling,353,0.000
polling,354,0.000
polling,355,0.000
polling,356,0.000
polling,357,0.000
polling,358,0.000
polling,359,0.000
polling,360,0.000
polling,361,0.000
polling,362,0.000
polling,363,0.000
polling,364,0.000
polling,365,0.000
polling,366,0.000
polling,367,0.000
polling,368,0.000
polling,369,0.000
polling,370,0.000
polling,371,0.000
polling,372,0.000
polling,373,0.000
polling,374,0.000
polling,375,0.000
polling,376,0.000
polling,377,0.000
polling,378,0.000
polling,379,0.000
polling,380,0.000
polling,381,0.000
polling,382,0.000
polling,383,0.000
polling,384,0.000
polling,385,0.000
polling,386,0.000
polling,387,0.000
polling,388,0.000
polling,389,0.000
polling,390,0.000
polling,391,0.000
polling,392,0.000
polling,393,0.000
polling,394,0.000
polling,395,0.000
polling,396,0.000
polling,397,0.000
polling,398,0.000
polling,399,0.000
polling,400,0.000
polling,401,0.000
polling,402,0.000
polling,403,0.000
polling,404,0.000
polling,405,0.000
polling,406,0.000
polling,407,0.000
polling,408,0.000
polling,409,0.000
polling,410,0.000
polling,411,0.000
polling,412,0.000
polling,413,0.000
polling,414,0.000
polling,415,0.000
polling,416,0.000
polling,417,0.000
polling,418,0.000
polling,419,0.000
polling,420,0.000
polling,421,0.000
polling,422,0.000
polling,423,0.000
polling,424,0.000
polling,425,0.000
polling,426,0.000
polling,427,0.000
polling,428,0.000
polling,429,0.000
polling,430,0.000
polling,431,0.000
polling,432,0.000
polling,433,0.000
polling,434,0.000
polling,435,0.000
polling,436,0.000
polling,437,0.000
polling,438,0.000
polling,439,0.000
polling,440,0.000
polling,441,0.000
polling,442,0.000
polling,443,0.000
polling,444,0.000
polling,445,0.000
polling,446,0.000
polling,447,0.000
polling,448,0.000
polling,449,0.000
polling,450,0.000
polling,451,0.000
polling,452,0.000
polling,453,0.000
polling,454,0.000
polling,455,0.000
polling,456,0.000
polling,457,0.000
polling,458,0.000
polling,459,0.000
polling,460,0.000
polling,461,0.000
polling,462,0.000
polling,463,0.000
polling,464,0.000
polling,465,0.000
polling,466,0.000
polling,467,0.000
polling,468,0.000
polling,469,0.000
polling,470,0.000
polling,471,0.000
polling,472,0.000
polling,473,0.000
polling,474,0.000
polling,475,0.000
polling,476,0.000
polling,477,0.000
polling,478,0.000
polling,479,0.000
polling,480,0.000
polling,481,0.000
polling,482,0.000
polling,483,0.000
polling,484,0.000
polling,485,0.000
polling,486,0.000
polling,487,0.000
polling,488,0.000
polling,489,0.000
polling,490,0.000
polling,491,0.000
polling,492,0.000
polling,493,0.000
polling,494,0.000
polling,495,0.000
polling,496,0.000
polling,497,0.000
polling,498,0.000
polling,499,0.000
polling,500,0.000
polling,501,0.000
polling,502,0.000
polling,503,0.000
polling,504,0.000
polling,505,0.000
polling,506,0.000
polling,507,0.000
polling,508,0.000
polling,509,0.000
polling,510,0.000
polling,511,0.000
polling,512,0.000
polling,513,0.000
polling,514,0.000
polling,515,0.000
polling,516,0.000
polling,517,0.000
polling,518,0.000
polling,519,0.000
polling,520,0.000
polling,521,0.000
polling,522,0.000
polling,523,0.000
polling,524,0.000
polling,525,0.000
polling,526,0.000
polling,527,0.000
polling,528,0.000
polling,529,0.000
polling,530,0.000
polling,531,0.000
polling,532,0.000
polling,533,0.000
polling,534,0.000
polling,535,0.000
polling,536,0.000
polling,537,0.000
polling,538,0.000
polling,539,0.000
polling,540,0.000
polling,541,0.000
polling,542,0.000
polling,543,0.000
polling,544,0.000
polling,545,0.000
polling,546,0.000
polling,547,0.000
polling,548,0.000
polling,549,0.000
polling,550,0.000
polling,551,0.000
polling,552,0.000
polling,553,0.000
polling,554,0.000
polling,555,0.000
polling,556,0.000
polling,557,0.000
polling,558,0.000
polling,559,0.000
polling,560,0.000
polling,561,0.000
polling,562,0.000
polling,563,0.000
polling,564,0.000
polling,565,0.000
polling,566,0.000
polling,567,0.000
polling,568,0.000
polling,569,0.000
polling,570,0.000
polling,571,0.000
polling,572,0.000
polling,573,0.000
polling,574,0.000
polling,575,0.000
polling,576,0.000
polling,577,0.000
polling,578,0.000
polling,579,0.000
polling,580,0.000
polling,581,0.000
polling,582,0.000
polling,583,0.000
polling,584,0.000
polling,585,0.000
polling,586,0.000
polling,587,0.000
polling,588,0.000
polling,589,0.000
polling,590,0.338
polling,591,0.392
polling,592,0.495
polling,593,0.497
polling,594,0.504
polling,595,0.505
polling,596,0.505
polling,597,0.505
polling,598,0.609
polling,599,1.005
